SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME,DATASET_CREATED
42012,2544,41200203,2013-05-10,MIA @ CHI,W,44,6,17,0.353,2,4,0.5,11,11,1.0,0,8,8,7,2,0,1,0,25,7,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200204,2013-05-13,MIA @ CHI,W,43,9,20,0.45,1,4,0.25,8,9,0.889,0,7,7,8,2,0,5,0,27,27,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200205,2013-05-15,MIA vs. CHI,W,44,5,14,0.357,1,3,0.333,12,15,0.8,0,7,7,8,2,0,2,3,23,4,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200301,2013-05-22,MIA vs. IND,W,47,12,24,0.5,2,6,0.333,4,7,0.571,3,7,10,10,0,3,4,5,30,3,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200302,2013-05-24,MIA vs. IND,L,45,14,20,0.7,3,7,0.429,5,7,0.714,4,4,8,3,3,1,5,3,36,-7,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200303,2013-05-26,MIA @ IND,W,41,8,17,0.471,0,1,0.0,6,6,1.0,0,4,4,3,0,0,0,0,22,22,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200304,2013-05-28,MIA @ IND,L,43,8,18,0.444,4,7,0.571,4,6,0.667,4,2,6,5,1,3,2,6,24,-3,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200305,2013-05-30,MIA vs. IND,W,44,13,26,0.5,3,7,0.429,1,4,0.25,0,8,8,6,2,1,3,1,30,14,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200306,2013-06-01,MIA @ IND,L,42,10,21,0.476,2,4,0.5,7,8,0.875,0,7,7,6,2,1,4,2,29,-22,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200307,2013-06-03,MIA vs. IND,W,41,8,17,0.471,1,2,0.5,15,16,0.938,2,6,8,4,2,1,2,1,32,21,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200401,2013-06-06,MIA vs. SAS,L,42,7,16,0.438,1,5,0.2,3,4,0.75,2,16,18,10,0,0,2,0,18,-3,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200402,2013-06-09,MIA vs. SAS,W,41,7,17,0.412,1,3,0.333,2,2,1.0,1,7,8,7,3,3,2,2,17,29,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200403,2013-06-11,MIA @ SAS,L,39,7,21,0.333,1,5,0.2,0,0,,1,10,11,5,2,0,2,0,15,-32,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
